Date,City,Spending Group,Spending Subgroup,Treasury Spend Subgroup,Treausry Spend Group,Amount
Dec 2022,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,700000.00
Dec 2022,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2308933.00
Dec 2022,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Administrative Expenses,Administrative,7173177.00
Dec 2022,City Of Portland Oregon,Infrastructure,Public Space,Economic Impact Assistance: Other,Negative Economic Impacts,250000.00
Dec 2022,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,1900000.00
Dec 2022,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,1000000.00
Dec 2022,City Of Portland Oregon,Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,85000.00
Dec 2022,City Of Portland Oregon,Public Health,Mental Health,Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,175750.00
Dec 2022,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,280000.00
Dec 2022,City Of Portland Oregon,Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1061400.00
Dec 2022,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,151954.00
Dec 2022,City Of Portland Oregon,Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5452500.00
Dec 2022,City Of Portland Oregon,Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5175000.00
Dec 2022,City Of Portland Oregon,Public Health,Mental Health,Mental Health Services,Public Health,5884642.00
Dec 2022,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,311117.00
Dec 2022,City Of Portland Oregon,Housing,Eviction Prevention,Housing Support: Other Housing Assistance,Negative Economic Impacts,1860000.00
Dec 2022,City Of Portland Oregon,Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,1755000.00
Dec 2022,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,4000000.00
Dec 2022,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Economic Impact Assistance: Other,Negative Economic Impacts,1125000.00
Dec 2022,City Of Portland Oregon,Economic and Workforce Development,Economic development,Economic Impact Assistance: Other,Negative Economic Impacts,640000.00
Dec 2022,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,500000.00
Dec 2022,City Of Portland Oregon,Community Aid,Other Community Aid,Social Determinants of Health: Community Health Workers or Benefits Navigators,Negative Economic Impacts,150000.00
Dec 2022,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,250000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,7000000.00
Apr 2023,City Of Portland Oregon,Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,11239612.00
Apr 2023,City Of Portland Oregon,Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,1755000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2090000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,1500000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,7334000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,75000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,1900000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,250000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,4000000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2000000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,165000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2308933.00
Apr 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,2500000.00
Apr 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,4700000.00
Apr 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,1500000.00
Apr 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,2688883.00
Apr 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,311117.00
Apr 2023,City Of Portland Oregon,Community Aid,Refugees and Migration,Economic Impact Assistance: Other,Negative Economic Impacts,2000000.00
Apr 2023,City Of Portland Oregon,Community Aid,Refugees and Migration,Economic Impact Assistance: Other,Negative Economic Impacts,2000000.00
Apr 2023,City Of Portland Oregon,Infrastructure,Public Space,Economic Impact Assistance: Other,Negative Economic Impacts,250000.00
Apr 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Economic Impact Assistance: Other,Negative Economic Impacts,1495000.00
Apr 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,280000.00
Apr 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,151954.00
Apr 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Administrative Expenses,Administrative,7173177.00
Apr 2023,City Of Portland Oregon,Community Aid,Other Community Aid,Social Determinants of Health: Community Health Workers or Benefits Navigators,Negative Economic Impacts,150000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,765000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,0.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,425000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,40000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,500000.00
Apr 2023,City Of Portland Oregon,Public Health,Mental Health,Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,175750.00
Apr 2023,City Of Portland Oregon,Public Health,Mental Health,Mental Health Services,Public Health,5884642.00
Apr 2023,City Of Portland Oregon,Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,85000.00
Apr 2023,City Of Portland Oregon,Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1061400.00
Apr 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,52259210.00
Apr 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,12791000.00
Apr 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,805000.00
Apr 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,2400000.00
Apr 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,1000000.00
Apr 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,570000.00
Apr 2023,City Of Portland Oregon,Housing,Homelessness,Economic Impact Assistance: Other,Negative Economic Impacts,0.00
Apr 2023,City Of Portland Oregon,Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,38863195.00
Apr 2023,City Of Portland Oregon,Housing,Eviction Prevention,Housing Support: Other Housing Assistance,Negative Economic Impacts,1860000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Economic Impact Assistance: Other,Negative Economic Impacts,1125000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Economic Impact Assistance: Other,Negative Economic Impacts,640000.00
Apr 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,700000.00
Apr 2023,City Of Portland Oregon,Public Health,COVID Response,COVID-19 Vaccination,Public Health,250000.00
Apr 2023,City Of Portland Oregon,Infrastructure,Broadband,Household Assistance: Internet Access Programs,Negative Economic Impacts,3500000.00
Apr 2023,City Of Portland Oregon,Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2000000.00
Apr 2023,City Of Portland Oregon,Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5175000.00
Apr 2023,City Of Portland Oregon,Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5452500.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,0.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Economic Impact Assistance: Other,Negative Economic Impacts,1125000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,4000000.00
Jul 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,311117.00
Jul 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,4700000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2308933.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,165000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,7334000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,75000.00
Jul 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,2688882.69
Jul 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,1500000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,1500000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2000000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2090000.00
Jul 2023,City Of Portland Oregon,Community Aid,Other Community Aid,Social Determinants of Health: Community Health Workers or Benefits Navigators,Negative Economic Impacts,150000.00
Jul 2023,City Of Portland Oregon,Public Safety,Other Public Safety,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,500000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,1000000.00
Jul 2023,City Of Portland Oregon,Public Health,Mental Health,Mental Health Services,Public Health,5884642.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,250000.00
Jul 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,1000000.00
Jul 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,570000.00
Jul 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,2400000.00
Jul 2023,City Of Portland Oregon,Public Health,Other Public Health,Community Violence Interventions,Public Health,11239612.00
Jul 2023,City Of Portland Oregon,Infrastructure,Broadband,Household Assistance: Internet Access Programs,Negative Economic Impacts,3500000.00
Jul 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,805000.00
Jul 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,2500000.00
Jul 2023,City Of Portland Oregon,Public Health,COVID Response,COVID-19 Vaccination,Public Health,250000.00
Jul 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,12791000.00
Jul 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,52259210.00
Jul 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,151954.00
Jul 2023,City Of Portland Oregon,Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,1755000.00
Jul 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Economic Impact Assistance: Other,Negative Economic Impacts,1495000.00
Jul 2023,City Of Portland Oregon,Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1061400.00
Jul 2023,City Of Portland Oregon,Infrastructure,Public Space,Economic Impact Assistance: Other,Negative Economic Impacts,250000.00
Jul 2023,City Of Portland Oregon,Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,85000.00
Jul 2023,City Of Portland Oregon,Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2000000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,0.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Economic Impact Assistance: Other,Negative Economic Impacts,640000.00
Jul 2023,City Of Portland Oregon,Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5452500.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,700000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,7000000.00
Jul 2023,City Of Portland Oregon,Public Health,Mental Health,Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,175750.00
Jul 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,280000.00
Jul 2023,City Of Portland Oregon,Housing,Eviction Prevention,Housing Support: Other Housing Assistance,Negative Economic Impacts,1860000.00
Jul 2023,City Of Portland Oregon,Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5175000.00
Jul 2023,City Of Portland Oregon,Community Aid,Refugees and Migration,Economic Impact Assistance: Other,Negative Economic Impacts,2000000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,40000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,425000.00
Jul 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,765000.00
Jul 2023,City Of Portland Oregon,Community Aid,Refugees and Migration,Economic Impact Assistance: Other,Negative Economic Impacts,2000000.00
Jul 2023,City Of Portland Oregon,Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,38863195.00
Jul 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Administrative Expenses,Administrative,7173177.00
Jul 2023,City Of Portland Oregon,Housing,Homelessness,Economic Impact Assistance: Other,Negative Economic Impacts,0.00
Sept 2023,City Of Portland Oregon,Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,38863195.00
Sept 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,52259210.00
Sept 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,12791000.00
Sept 2023,City Of Portland Oregon,Public Health,Other Public Health,Community Violence Interventions,Public Health,11239612.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,7334000.00
Sept 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Administrative Expenses,Administrative,7173177.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,7000000.00
Sept 2023,City Of Portland Oregon,Public Health,Mental Health,Mental Health Services,Public Health,5884642.00
Sept 2023,City Of Portland Oregon,Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5452500.00
Sept 2023,City Of Portland Oregon,Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5175000.00
Sept 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,4700000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,4000000.00
Sept 2023,City Of Portland Oregon,Infrastructure,Broadband,Household Assistance: Internet Access Programs,Negative Economic Impacts,3500000.00
Sept 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,2688882.69
Sept 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,2500000.00
Sept 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,2400000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2308933.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2090000.00
Sept 2023,City Of Portland Oregon,Community Aid,Refugees and Migration,Economic Impact Assistance: Other,Negative Economic Impacts,2000000.00
Sept 2023,City Of Portland Oregon,Community Aid,Refugees and Migration,Economic Impact Assistance: Other,Negative Economic Impacts,2000000.00
Sept 2023,City Of Portland Oregon,Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2000000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2000000.00
Sept 2023,City Of Portland Oregon,Housing,Eviction Prevention,Housing Support: Other Housing Assistance,Negative Economic Impacts,1860000.00
Sept 2023,City Of Portland Oregon,Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,1755000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,1500000.00
Sept 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,1500000.00
Sept 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Economic Impact Assistance: Other,Negative Economic Impacts,1495000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Economic Impact Assistance: Other,Negative Economic Impacts,1125000.00
Sept 2023,City Of Portland Oregon,Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1061400.00
Sept 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,1000000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,1000000.00
Sept 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,805000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,765000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,700000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Economic Impact Assistance: Other,Negative Economic Impacts,640000.00
Sept 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,570000.00
Sept 2023,City Of Portland Oregon,Public Safety,Other Public Safety,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,500000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,425000.00
Sept 2023,City Of Portland Oregon,Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,311117.00
Sept 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,280000.00
Sept 2023,City Of Portland Oregon,Infrastructure,Public Space,Economic Impact Assistance: Other,Negative Economic Impacts,250000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,250000.00
Sept 2023,City Of Portland Oregon,Public Health,COVID Response,COVID-19 Vaccination,Public Health,250000.00
Sept 2023,City Of Portland Oregon,Public Health,Mental Health,Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,175750.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,165000.00
Sept 2023,City Of Portland Oregon,Government Operations Investments,Other Government Investment,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,151954.00
Sept 2023,City Of Portland Oregon,Community Aid,Other Community Aid,Social Determinants of Health: Community Health Workers or Benefits Navigators,Negative Economic Impacts,150000.00
Sept 2023,City Of Portland Oregon,Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,85000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,75000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,40000.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,0.00
Sept 2023,City Of Portland Oregon,Housing,Homelessness,Economic Impact Assistance: Other,Negative Economic Impacts,0.00
Sept 2023,City Of Portland Oregon,Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,0.00
Dec 2023,City Of Portland Oregon,Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5175000.00
Dec 2023,City Of Portland Oregon,Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5452500.00
Dec 2023,City Of Portland Oregon,Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2000000.00
Dec 2023,City Of Portland Oregon,Infrastructure,Broadband,Household Assistance: Internet Access Programs,Negative Economic Impacts,3500000.00
Dec 2023,City Of Portland Oregon,Public Health,COVID Response,COVID-19 Vaccination,Public Health,250000.00
Dec 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Economic Impact Assistance: Other,Negative Economic Impacts,1125000.00
Dec 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Economic Impact Assistance: Other,Negative Economic Impacts,640000.00
Dec 2023,City Of Portland Oregon,Economic and Workforce Development,Economic Development,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,700000.00
Dec 2023,City Of Portland Oregon,Housing,Eviction Prevention,Housing Support: Other Housing Assistance,Negative Economic Impacts,1860000.00
Dec 2023,City Of Portland Oregon,Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,38863195.00
Dec 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,52259210.00
Dec 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,12791000.00
Dec 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,805000.00
Dec 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,2400000.00
Dec 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,1000000.00
Dec 2023,City Of Portland Oregon,Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,570000.00
Dec 2023,City Of Portland Oregon,Housing,Homelessness,Economic Impact Assistance: Other,Negative Economic Impacts,0.00
Dec 2023,City Of Portland Oregon,Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,191000.00
